max_spread,exit_target,half_spread_mult,n_trades,n_closed,n_TP,n_FC,n_MH,n_EOP,total_$,closed_$,pnl_per_trade_$,closed_ppt_$,pnl_per_share_c,hit_rate,mean_hold_d,median_hold_d,mean_S_entry
0.05,0.08,1.0,41,29,29,0,0,12,584.0,745.0,14.2,25.7,2.85,1.0,7.3,2.4,0.0355
0.05,0.08,2.0,21,11,11,0,0,10,208.0,339.0,9.9,30.8,1.98,1.0,11.0,5.8,0.0281
0.05,0.1,0.5,61,46,46,0,0,15,1282.0,1488.0,21.0,32.3,4.2,1.0,7.3,2.5,0.0408
0.05,0.1,1.0,48,34,34,0,0,14,766.0,969.0,16.0,28.5,3.19,1.0,8.1,3.1,0.0381
0.05,0.1,2.0,26,13,13,0,0,13,226.0,399.0,8.7,30.7,1.74,1.0,11.2,6.9,0.0371
0.05,0.15,0.5,54,31,31,0,0,23,1518.0,1702.0,28.1,54.9,5.62,1.0,10.5,5.5,0.0442
0.05,0.15,1.0,48,26,26,0,0,22,1172.0,1416.0,24.4,54.4,4.88,1.0,11.2,5.9,0.0373
0.05,0.15,2.0,32,14,14,0,0,18,382.0,640.0,11.9,45.7,2.39,1.0,13.7,12.8,0.0383
0.05,0.2,0.5,49,22,22,0,0,27,1547.0,1615.0,31.6,73.4,6.32,1.0,13.4,10.7,0.0453
0.05,0.2,1.0,47,21,21,0,0,26,1188.0,1372.0,25.3,65.3,5.05,1.0,13.4,10.7,0.0441
0.05,0.2,2.0,35,11,11,0,0,24,382.0,669.0,10.9,60.8,2.18,1.0,15.7,15.9,0.0384
